Time  s.  d...  o
 744  011  11101000  0
 745  011  11101001  0
 746  011  11101010  0
 747  011  11101011  0
 748  011  11101100  0
 749  011  11101101  0
 750  011  11101110  0
 751  011  11101111  0
 752  011  11110000  1
 753  011  11110001  1
 754  011  11110010  1
 755  011  11110011  1
 756  011  11110100  1
 757  011  11110101  1
 758  011  11110110  1
 759  011  11110111  1
 760  011  11111000  1
 761  011  11111001  1
 762  011  11111010  1
 763  011  11111011  1
 764  011  11111100  1
 765  011  11111101  1
 766  011  11111110  1
 767  011  11111111  1
 768  011  00000000  0
 769  011  00000001  0
 770  011  00000010  0
 771  011  00000011  0
 772  011  00000100  0
 773  011  00000101  0
 774  011  00000110  0
 775  011  00000111  0
 776  011  00001000  0
 777  011  00001001  0
 778  011  00001010  0
 779  011  00001011  0
 780  011  00001100  0
 781  011  00001101  0
 782  011  00001110  0
 783  011  00001111  0
 784  011  00010000  1
 785  011  00010001  1
 786  011  00010010  1
 787  011  00010011  1
 788  011  00010100  1
 789  011  00010101  1
 790  011  00010110  1
 791  011  00010111  1
 792  011  00011000  1
 793  011  00011001  1
 794  011  00011010  1
 795  011  00011011  1
 796  011  00011100  1
 797  011  00011101  1
 798  011  00011110  1
 799  011  00011111  1
 800  011  00100000  0
 801  011  00100001  0
 802  011  00100010  0
 803  011  00100011  0
 804  011  00100100  0
 805  011  00100101  0
 806  011  00100110  0
 807  011  00100111  0
 808  011  00101000  0
 809  011  00101001  0
 810  011  00101010  0
 811  011  00101011  0
 812  011  00101100  0
 813  011  00101101  0
 814  011  00101110  0
 815  011  00101111  0
 816  011  00110000  1
 817  011  00110001  1
 818  011  00110010  1
 819  011  00110011  1
 820  011  00110100  1
 821  011  00110101  1
 822  011  00110110  1
 823  011  00110111  1
 824  011  00111000  1
 825  011  00111001  1
 826  011  00111010  1
 827  011  00111011  1
 828  011  00111100  1
 829  011  00111101  1
 830  011  00111110  1
 831  011  00111111  1
 832  011  01000000  0
 833  011  01000001  0
 834  011  01000010  0
 835  011  01000011  0
 836  011  01000100  0
 837  011  01000101  0
 838  011  01000110  0
 839  011  01000111  0
 840  011  01001000  0
 841  011  01001001  0
 842  011  01001010  0
 843  011  01001011  0
 844  011  01001100  0
 845  011  01001101  0
 846  011  01001110  0
 847  011  01001111  0
 848  011  01010000  1
 849  011  01010001  1
 850  011  01010010  1
 851  011  01010011  1
 852  011  01010100  1
 853  011  01010101  1
 854  011  01010110  1
 855  011  01010111  1
 856  011  01011000  1
 857  011  01011001  1
 858  011  01011010  1
 859  011  01011011  1
 860  011  01011100  1
 861  011  01011101  1
 862  011  01011110  1
 863  011  01011111  1
 864  011  01100000  0
 865  011  01100001  0
 866  011  01100010  0
 867  011  01100011  0
 868  011  01100100  0
 869  011  01100101  0
 870  011  01100110  0
 871  011  01100111  0
 872  011  01101000  0
 873  011  01101001  0
 874  011  01101010  0
 875  011  01101011  0
 876  011  01101100  0
 877  011  01101101  0
 878  011  01101110  0
 879  011  01101111  0
 880  011  01110000  1
 881  011  01110001  1
 882  011  01110010  1
 883  011  01110011  1
 884  011  01110100  1
 885  011  01110101  1
 886  011  01110110  1
 887  011  01110111  1
 888  011  01111000  1
 889  011  01111001  1
 890  011  01111010  1
 891  011  01111011  1
 892  011  01111100  1
 893  011  01111101  1
 894  011  01111110  1
 895  011  01111111  1
 896  011  10000000  0
 897  011  10000001  0
 898  011  10000010  0
 899  011  10000011  0
 900  011  10000100  0
 901  011  10000101  0
 902  011  10000110  0
 903  011  10000111  0
 904  011  10001000  0
 905  011  10001001  0
 906  011  10001010  0
 907  011  10001011  0
 908  011  10001100  0
 909  011  10001101  0
 910  011  10001110  0
 911  011  10001111  0
 912  011  10010000  1
 913  011  10010001  1
 914  011  10010010  1
 915  011  10010011  1
 916  011  10010100  1
 917  011  10010101  1
 918  011  10010110  1
 919  011  10010111  1
 920  011  10011000  1
 921  011  10011001  1
 922  011  10011010  1
 923  011  10011011  1
 924  011  10011100  1
 925  011  10011101  1
 926  011  10011110  1
 927  011  10011111  1
 928  011  10100000  0
 929  011  10100001  0
 930  011  10100010  0
 931  011  10100011  0
 932  011  10100100  0
 933  011  10100101  0
 934  011  10100110  0
 935  011  10100111  0
 936  011  10101000  0
 937  011  10101001  0
 938  011  10101010  0
 939  011  10101011  0
 940  011  10101100  0
 941  011  10101101  0
 942  011  10101110  0
 943  011  10101111  0
 944  011  10110000  1
 945  011  10110001  1
 946  011  10110010  1
 947  011  10110011  1
 948  011  10110100  1
 949  011  10110101  1
 950  011  10110110  1
 951  011  10110111  1
 952  011  10111000  1
 953  011  10111001  1
 954  011  10111010  1
 955  011  10111011  1
 956  011  10111100  1
 957  011  10111101  1
 958  011  10111110  1
 959  011  10111111  1
 960  011  11000000  0
 961  011  11000001  0
 962  011  11000010  0
 963  011  11000011  0
 964  011  11000100  0
 965  011  11000101  0
 966  011  11000110  0
 967  011  11000111  0
 968  011  11001000  0
 969  011  11001001  0
 970  011  11001010  0
 971  011  11001011  0
 972  011  11001100  0
 973  011  11001101  0
 974  011  11001110  0
 975  011  11001111  0
 976  011  11010000  1
 977  011  11010001  1
 978  011  11010010  1
 979  011  11010011  1
 980  011  11010100  1
 981  011  11010101  1
 982  011  11010110  1
 983  011  11010111  1
 984  011  11011000  1
 985  011  11011001  1
 986  011  11011010  1
 987  011  11011011  1
 988  011  11011100  1
 989  011  11011101  1
 990  011  11011110  1
 991  011  11011111  1
 992  011  11100000  0
 993  011  11100001  0
 994  011  11100010  0
 995  011  11100011  0
 996  011  11100100  0
 997  011  11100101  0
 998  011  11100110  0
 999  011  11100111  0
1000  011  11101000  0
1001  011  11101001  0
1002  011  11101010  0
1003  011  11101011  0
1004  011  11101100  0
1005  011  11101101  0
1006  011  11101110  0
1007  011  11101111  0
1008  011  11110000  1
1009  011  11110001  1
1010  011  11110010  1
1011  011  11110011  1
1012  011  11110100  1
1013  011  11110101  1
1014  011  11110110  1
1015  011  11110111  1
1016  011  11111000  1
1017  011  11111001  1
1018  011  11111010  1
1019  011  11111011  1
1020  011  11111100  1
1021  011  11111101  1
1022  011  11111110  1
1023  011  11111111  1
1024  101  00000000  0
1025  101  00000001  0
1026  101  00000010  0
1027  101  00000011  0
1028  101  00000100  1
1029  101  00000101  1
1030  101  00000110  1
1031  101  00000111  1
1032  101  00001000  0
1033  101  00001001  0
1034  101  00001010  0
1035  101  00001011  0
1036  101  00001100  1
1037  101  00001101  1
1038  101  00001110  1
1039  101  00001111  1
1040  101  00010000  0
1041  101  00010001  0
1042  101  00010010  0
1043  101  00010011  0
1044  101  00010100  1
1045  101  00010101  1
1046  101  00010110  1
1047  101  00010111  1
1048  101  00011000  0
1049  101  00011001  0
1050  101  00011010  0
1051  101  00011011  0
1052  101  00011100  1
1053  101  00011101  1
1054  101  00011110  1
1055  101  00011111  1
1056  101  00100000  0
1057  101  00100001  0
1058  101  00100010  0
1059  101  00100011  0
1060  101  00100100  1
1061  101  00100101  1
1062  101  00100110  1
1063  101  00100111  1
1064  101  00101000  0
1065  101  00101001  0
1066  101  00101010  0
1067  101  00101011  0
1068  101  00101100  1
1069  101  00101101  1
1070  101  00101110  1
1071  101  00101111  1
1072  101  00110000  0
1073  101  00110001  0
1074  101  00110010  0
1075  101  00110011  0
1076  101  00110100  1
1077  101  00110101  1
1078  101  00110110  1
1079  101  00110111  1
1080  101  00111000  0
1081  101  00111001  0
1082  101  00111010  0
1083  101  00111011  0
1084  101  00111100  1
1085  101  00111101  1
1086  101  00111110  1
1087  101  00111111  1
1088  101  01000000  0
1089  101  01000001  0
1090  101  01000010  0
1091  101  01000011  0
1092  101  01000100  1
1093  101  01000101  1
1094  101  01000110  1
1095  101  01000111  1
1096  101  01001000  0
1097  101  01001001  0
1098  101  01001010  0
1099  101  01001011  0
1100  101  01001100  1
1101  101  01001101  1
1102  101  01001110  1
1103  101  01001111  1
1104  101  01010000  0
1105  101  01010001  0
1106  101  01010010  0
1107  101  01010011  0
1108  101  01010100  1
1109  101  01010101  1
1110  101  01010110  1
1111  101  01010111  1
1112  101  01011000  0
1113  101  01011001  0
1114  101  01011010  0
1115  101  01011011  0
1116  101  01011100  1
1117  101  01011101  1
1118  101  01011110  1
